Sample Number (60 samples per second),Pv (l/m),duty (l/m),loopTime (ms)
0,0.49,255.0,100.0
1,0.49,255.0,90.0
2,0.49,255.0,90.0
3,0.48,255.0,83.0
4,0.48,255.0,100.0
5,0.52,255.0,83.0
6,0.51,255.0,90.0
7,0.51,255.0,90.0
8,0.51,255.0,90.0
9,0.55,255.0,90.0
10,0.55,255.0,90.0
11,0.54,255.0,100.0
12,0.54,255.0,90.0
13,0.58,255.0,90.0
14,0.58,255.0,90.0
15,0.58,255.0,90.0
16,0.57,255.0,83.0
17,0.61,255.0,90.0
18,0.61,255.0,100.0
19,0.6,255.0,90.0
20,0.6,255.0,90.0
21,0.64,255.0,90.0
22,0.64,255.0,90.0
23,0.64,255.0,83.0
24,0.67,255.0,90.0
25,0.67,255.0,100.0
26,0.67,255.0,90.0
27,0.67,255.0,90.0
28,0.7,255.0,100.0
29,0.7,255.0,90.0
30,0.7,255.0,83.0
31,0.73,255.0,90.0
32,0.73,255.0,90.0
33,0.77,255.0,90.0
34,0.77,255.0,90.0
35,0.8,255.0,100.0
36,0.8,255.0,90.0
37,0.8,255.0,90.0
38,0.84,255.0,90.0
39,0.84,255.0,90.0
40,0.88,255.0,90.0
41,0.87,255.0,83.0
42,0.91,255.0,90.0
43,0.91,255.0,90.0
44,0.95,255.0,90.0
45,0.95,255.0,90.0
46,0.99,255.0,100.0
47,0.99,255.0,90.0
48,1.03,255.0,83.0
49,1.03,255.0,90.0
50,1.07,255.0,83.0
51,1.06,255.0,90.0
52,1.11,255.0,90.0
53,1.11,255.0,100.0
54,1.15,255.0,90.0
55,1.19,255.0,90.0
56,1.19,255.0,90.0
57,1.23,255.0,90.0
58,1.23,255.0,90.0
59,1.28,255.0,83.0
60,1.27,255.0,100.0
61,1.32,255.0,90.0
62,1.36,255.0,90.0
63,1.36,255.0,90.0
64,1.41,255.0,90.0
65,1.45,255.0,90.0
66,1.45,255.0,83.0
67,1.5,255.0,100.0
68,1.49,255.0,83.0
69,1.54,255.0,90.0
70,1.59,255.0,90.0
71,1.59,255.0,100.0
72,1.64,255.0,90.0
73,1.69,255.0,83.0
74,1.69,255.0,100.0
75,1.74,255.0,83.0
76,1.79,255.0,90.0
77,1.78,255.0,83.0
78,1.83,255.0,100.0
79,1.89,255.0,90.0
80,1.88,255.0,90.0
81,1.94,255.0,100.0
82,1.99,255.0,90.0
83,1.98,255.0,90.0
84,2.04,255.0,83.0
85,2.09,255.0,100.0
86,2.08,255.0,83.0
87,2.14,255.0,90.0
88,2.2,255.0,100.0
89,2.19,255.0,90.0
90,2.25,255.0,90.0
91,2.32,255.0,83.0
92,2.3,255.0,100.0
93,2.36,255.0,83.0
94,2.43,255.0,90.0
95,2.49,255.0,90.0
96,2.48,255.0,90.0
97,2.54,255.0,90.0
98,2.61,255.0,90.0
99,2.67,255.0,100.0
100,2.65,255.0,90.0
101,2.72,255.0,90.0
102,2.79,255.0,90.0
103,2.85,255.0,90.0
104,2.84,255.0,83.0
105,2.9,255.0,90.0
106,2.97,255.0,100.0
107,2.95,255.0,90.0
108,3.02,255.0,90.0
109,3.09,255.0,90.0
110,3.16,255.0,90.0
111,3.13,255.0,83.0
112,3.2,255.0,90.0
113,3.27,255.0,100.0
114,3.34,255.0,90.0
115,3.31,255.0,90.0
116,3.38,255.0,100.0
117,3.45,255.0,90.0
118,3.42,255.0,83.0
119,3.49,255.0,90.0
120,3.56,255.0,90.0
121,3.63,255.0,90.0
122,3.61,255.0,90.0
123,3.68,255.0,100.0
124,3.74,255.0,90.0
125,3.82,255.0,90.0
126,3.79,255.0,90.0
127,3.86,255.0,90.0
128,3.94,255.0,90.0
129,3.91,255.0,83.0
130,3.98,255.0,90.0
131,4.05,255.0,90.0
132,4.12,255.0,90.0
133,4.09,255.0,90.0
134,4.16,255.0,100.0
135,4.23,255.0,90.0
136,4.31,255.0,83.0
137,4.27,255.0,90.0
138,4.35,255.0,83.0
139,4.42,255.0,90.0
140,4.5,255.0,90.0
141,4.46,255.0,100.0
142,4.53,255.0,90.0
143,4.61,255.0,90.0
144,4.69,255.0,90.0
145,4.65,255.0,90.0
146,4.72,255.0,90.0
147,4.8,255.0,83.0
148,4.76,255.0,100.0
149,4.83,255.0,90.0
150,4.9,255.0,90.0
151,4.98,255.0,90.0
152,5.06,255.0,90.0
153,5.01,255.0,90.0
154,5.09,255.0,83.0
155,5.17,255.0,100.0
156,5.24,255.0,83.0
157,5.19,255.0,90.0
158,5.27,255.0,90.0
159,5.34,255.0,100.0
160,5.41,255.0,90.0
161,5.36,255.0,83.0
162,5.43,255.0,100.0
163,5.5,255.0,83.0
164,5.57,255.0,90.0
165,5.52,255.0,83.0
166,5.59,255.0,100.0
167,5.66,255.0,90.0
168,5.73,255.0,90.0
169,5.68,255.0,100.0
170,5.74,255.0,90.0
171,5.82,255.0,90.0
172,5.76,255.0,83.0
173,5.83,255.0,100.0
174,5.9,255.0,83.0
175,5.97,255.0,90.0
176,5.91,255.0,100.0
177,5.97,255.0,90.0
178,6.05,-255.0,90.0
179,6.12,-255.0,90.0
180,6.18,-255.0,100.0
181,6.12,-255.0,83.0
182,6.18,-255.0,90.0
183,6.25,-255.0,90.0
184,6.32,-255.0,90.0
185,6.25,-255.0,83.0
186,6.32,-255.0,100.0
187,6.38,-255.0,83.0
188,6.44,-255.0,90.0
189,6.37,-255.0,90.0
190,6.43,-255.0,100.0
191,6.49,-255.0,90.0
192,6.56,-255.0,90.0
193,6.62,-255.0,100.0
194,6.55,-255.0,90.0
195,6.62,-255.0,90.0
196,6.69,-255.0,100.0
197,6.74,-255.0,90.0
198,6.67,-255.0,83.0
199,6.73,-255.0,90.0
