Sample Number (90 samples per second),fluxo (l/m),setPoint (l/m),duty (),Stability (),frequency ()
0,21.0,-4.2,214.0,0.0,11.0
1,10.32,-4.2,214.0,0.0,12.0
2,10.31,-4.2,214.0,0.0,11.0
3,10.21,-4.2,214.0,0.0,11.0
4,10.21,-4.2,214.0,0.0,11.0
5,10.32,-4.2,214.0,0.0,12.0
6,10.31,-4.2,214.0,0.0,11.0
7,10.21,-4.2,214.0,0.0,11.0
8,10.21,-4.2,214.0,0.0,11.0
9,0.0,-4.2,214.0,0.0,11.0
10,5.19,-4.2,214.0,0.0,10.0
11,4.12,-4.2,214.0,0.0,12.0
12,3.41,-4.2,214.0,0.0,11.0
13,4.83,-4.2,214.0,0.0,11.0
14,5.51,-4.2,214.0,0.0,10.0
15,4.86,-4.2,214.0,0.0,12.0
16,5.41,-4.2,214.0,0.0,11.0
17,4.88,-4.2,214.0,0.0,11.0
18,5.29,-4.2,214.0,0.0,11.0
19,4.86,-4.2,214.0,0.0,11.0
20,5.27,-4.2,214.0,0.0,11.0
21,4.89,-4.2,214.0,0.0,11.0
22,5.26,-4.2,214.0,0.0,11.0
23,4.92,-4.2,214.0,0.0,11.0
24,5.23,-4.2,214.0,0.0,11.0
25,4.93,-4.2,214.0,0.0,10.0
26,5.18,-4.2,214.0,0.0,11.0
27,5.45,-4.2,214.0,0.0,12.0
28,5.17,-4.2,214.0,0.0,11.0
29,5.41,-4.2,214.0,0.0,12.0
30,5.15,-4.2,214.0,0.0,10.0
31,5.35,-4.2,214.0,0.0,11.0
32,5.12,-4.2,214.0,0.0,11.0
33,5.32,-4.2,214.0,0.0,10.0
34,5.1,-4.2,214.0,0.0,12.0
35,5.3,-4.2,214.0,0.0,11.0
36,5.09,-4.2,214.0,0.0,11.0
37,4.9,-4.2,214.0,0.0,11.0
38,5.09,-4.2,214.0,0.0,10.0
39,4.91,-4.2,214.0,0.0,12.0
40,5.08,-4.2,214.0,0.0,11.0
41,4.91,-4.2,214.0,0.0,10.0
42,4.75,-4.2,214.0,0.0,11.0
43,4.92,-4.2,214.0,0.0,11.0
44,4.76,-4.2,214.0,0.0,11.0
45,4.91,-4.2,214.0,0.0,11.0
46,4.76,-4.2,214.0,0.0,11.0
47,4.62,-4.2,214.0,0.0,11.0
48,4.78,-4.2,214.0,0.0,11.0
49,4.64,-4.2,214.0,0.0,10.0
50,4.78,-4.2,214.0,0.0,11.0
51,4.65,-4.2,214.0,0.0,12.0
52,4.79,-4.2,214.0,0.0,11.0
53,4.66,-4.2,214.0,0.0,11.0
54,4.81,-4.2,214.0,0.0,10.0
55,4.68,-4.2,214.0,0.0,11.0
56,4.83,-4.2,214.0,0.0,12.0
57,4.71,-4.2,214.0,0.0,10.0
58,4.84,-4.2,214.0,0.0,12.0
59,4.72,-4.2,214.0,0.0,11.0
60,4.61,-4.2,214.0,0.0,11.0
61,4.73,-4.2,214.0,0.0,11.0
62,4.62,-4.2,214.0,0.0,10.0
63,4.75,-4.2,214.0,0.0,12.0
64,4.64,-4.2,214.0,0.0,11.0
65,4.53,-4.2,214.0,0.0,10.0
66,4.66,-4.2,214.0,0.0,11.0
67,4.55,-4.2,214.0,0.0,11.0
68,4.68,-4.2,214.0,0.0,12.0
69,4.58,-4.2,214.0,0.0,11.0
70,4.7,-4.2,214.0,0.0,11.0
71,4.6,-4.2,214.0,0.0,11.0
72,4.71,-4.2,214.0,0.0,11.0
73,4.61,-4.2,214.0,0.0,10.0
74,4.71,-4.2,214.0,0.0,11.0
75,4.62,-4.2,214.0,0.0,12.0
76,4.72,-4.2,214.0,0.0,11.0
77,4.63,-4.2,214.0,0.0,11.0
78,4.54,-4.2,214.0,0.0,10.0
79,4.64,-4.2,214.0,0.0,11.0
80,4.55,-4.2,214.0,0.0,12.0
81,4.65,-4.2,214.0,0.0,10.0
82,4.56,-4.2,214.0,0.0,12.0
83,4.67,-4.2,214.0,0.0,11.0
84,4.58,-4.18,213.0,0.0,11.0
85,4.68,-4.16,212.0,0.0,11.0
86,4.59,-4.14,211.0,0.0,10.0
87,4.51,-4.02,205.0,0.0,12.0
88,4.61,-3.97,202.0,0.0,11.0
89,4.53,-3.85,196.0,0.0,10.0
90,4.62,-3.65,186.0,0.0,11.0
91,4.72,-3.46,176.0,0.0,11.0
92,4.64,-3.24,165.0,0.0,12.0
93,4.72,-3.0,153.0,0.0,11.0
94,4.64,-2.81,143.0,0.0,10.0
95,4.72,-2.55,130.0,0.0,11.0
96,4.64,-2.34,119.0,0.0,11.0
97,4.73,-2.1,107.0,0.0,10.0
98,4.66,-1.91,97.0,0.0,11.0
99,4.58,-1.69,86.0,0.0,12.0
100,4.67,-1.5,76.0,0.0,11.0
101,4.6,-1.34,68.0,0.0,11.0
102,4.7,-1.16,59.0,0.0,11.0
103,4.62,-0.99,50.0,0.0,11.0
104,4.71,-0.83,42.0,0.0,11.0
105,4.64,-0.67,34.0,0.0,10.0
106,4.72,-0.5,25.0,0.0,12.0
107,4.65,-0.32,16.0,0.0,11.0
108,4.74,-0.12,6.0,0.0,11.0
109,4.67,0.01,1.0,0.0,11.0
110,4.78,0.13,7.0,0.0,12.0
111,4.71,0.25,13.0,0.0,10.0
112,4.63,0.37,19.0,0.0,11.0
113,4.74,0.47,24.0,0.0,11.0
114,4.66,0.56,29.0,0.0,10.0
115,4.59,0.66,34.0,0.0,11.0
116,4.69,0.72,37.0,0.0,11.0
117,4.62,0.84,43.0,0.0,10.0
118,4.55,0.88,45.0,0.0,11.0
119,4.65,0.98,50.0,0.0,12.0
120,4.58,1.01,52.0,0.0,10.0
121,4.51,1.05,54.0,0.0,12.0
122,4.6,1.11,57.0,0.0,11.0
123,4.53,1.17,60.0,0.0,12.0
124,4.47,1.19,61.0,0.0,11.0
125,4.56,1.25,64.0,0.0,11.0
126,4.49,1.29,66.0,0.0,11.0
127,4.43,1.31,67.0,0.0,11.0
128,4.53,1.31,67.0,0.0,11.0
129,4.46,1.33,68.0,0.0,11.0
130,4.4,1.37,70.0,0.0,11.0
131,4.34,1.39,71.0,0.0,11.0
132,4.43,1.39,71.0,0.0,12.0
133,4.37,1.41,72.0,0.0,11.0
134,4.31,1.45,74.0,0.0,11.0
135,4.4,1.47,75.0,0.0,11.0
136,4.34,1.47,75.0,0.0,12.0
137,4.28,1.47,75.0,0.0,10.0
138,4.37,1.5,77.0,0.0,12.0
139,4.31,1.5,77.0,0.0,11.0
140,4.25,1.5,77.0,0.0,10.0
141,4.19,1.54,79.0,0.0,11.0
142,4.28,1.54,79.0,0.0,11.0
143,4.22,1.58,81.0,0.0,10.0
144,4.17,1.62,83.0,0.0,11.0
145,4.26,1.7,87.0,0.0,11.0
146,4.2,1.74,89.0,0.0,10.0
147,4.29,1.78,91.0,0.0,12.0
148,4.23,1.82,93.0,0.0,11.0
149,4.18,1.86,95.0,0.0,11.0
150,4.12,1.94,99.0,0.0,11.0
151,4.22,2.01,103.0,0.0,12.0
152,4.16,2.07,106.0,0.0,10.0
153,4.24,2.17,111.0,0.0,11.0
154,4.18,2.21,113.0,0.0,11.0
155,4.26,2.25,115.0,0.0,11.0
156,4.2,2.35,120.0,0.0,12.0
157,4.28,2.39,122.0,0.0,10.0
158,4.23,2.5,128.0,0.0,12.0
159,4.17,2.56,131.0,0.0,11.0
160,4.26,2.6,133.0,0.0,10.0
161,4.2,2.66,136.0,0.0,11.0
162,4.28,2.74,140.0,0.0,11.0
163,4.23,2.78,142.0,0.0,10.0
