Sample Number (90 samples per second),fluxo (l/m),setPoint (l/m),duty (),Stability (),frequency ()
0,2.76,3.0,14.0,1.0,11.0
1,2.73,3.0,14.0,1.0,11.0
2,2.71,3.0,14.0,1.0,11.0
3,2.68,3.0,14.0,1.0,11.0
4,2.66,3.0,14.0,1.0,11.0
5,2.64,3.0,14.0,1.0,11.0
6,2.76,3.0,14.0,1.0,11.0
7,2.73,3.0,14.0,1.0,11.0
8,2.71,3.0,14.0,1.0,11.0
9,2.68,3.0,14.0,1.0,11.0
10,2.66,3.0,14.0,1.0,11.0
11,2.64,3.0,14.0,1.0,11.0
12,0.0,3.0,0.0,0.0,11.0
13,0.0,3.0,4.0,0.0,11.0
14,0.0,3.0,8.0,0.0,11.0
15,0.0,3.0,12.0,0.0,12.0
16,0.0,3.0,16.0,0.0,11.0
17,0.0,3.0,21.0,0.0,11.0
18,2.59,3.0,8.0,0.0,11.0
19,2.29,3.0,9.0,0.0,11.0
20,2.06,3.0,11.0,0.0,11.0
21,1.86,3.0,25.0,0.0,12.0
22,1.7,3.0,28.0,0.0,11.0
23,1.57,3.0,28.0,0.0,11.0
24,1.45,3.0,28.0,0.0,11.0
25,2.25,3.0,14.0,0.0,11.0
26,2.1,3.0,14.0,0.0,11.0
27,1.97,3.0,28.0,0.0,11.0
28,1.85,3.0,28.0,0.0,12.0
29,1.75,3.0,28.0,0.0,11.0
30,1.66,3.0,28.0,0.0,12.0
31,1.57,3.0,28.0,0.0,11.0
32,2.13,3.0,14.0,0.0,12.0
33,2.03,3.0,14.0,0.0,11.0
34,1.93,3.0,28.0,0.0,12.0
35,1.85,3.0,28.0,0.0,11.0
36,1.77,3.0,28.0,0.0,11.0
37,1.7,3.0,28.0,0.0,11.0
38,2.12,3.0,14.0,0.0,11.0
39,2.04,3.0,14.0,0.0,11.0
40,1.96,3.0,28.0,0.0,11.0
41,1.89,3.0,28.0,0.0,11.0
42,1.83,3.0,28.0,0.0,11.0
43,1.77,3.0,28.0,0.0,12.0
44,1.71,3.0,28.0,0.0,11.0
45,2.05,3.0,14.0,0.0,12.0
46,1.99,3.0,28.0,0.0,11.0
47,1.93,3.0,28.0,0.0,12.0
48,1.87,3.0,28.0,0.0,11.0
49,2.19,3.0,14.0,0.0,11.0
50,2.13,3.0,14.0,0.0,11.0
51,2.07,3.0,14.0,0.0,11.0
52,2.35,3.0,14.0,0.0,11.0
